filename,image,majority_subtype,majority_label,n_buildings,majority_share
midwest-flooding_00000044_post_disaster.json,midwest-flooding_00000044_post_disaster.png,no-damage,0,113,1.0
midwest-flooding_00000199_post_disaster.json,midwest-flooding_00000199_post_disaster.png,no-damage,0,1,1.0
midwest-flooding_00000318_post_disaster.json,midwest-flooding_00000318_post_disaster.png,no-damage,0,2,1.0
midwest-flooding_00000220_post_disaster.json,midwest-flooding_00000220_post_disaster.png,no-damage,0,6,1.0
midwest-flooding_00000405_post_disaster.json,midwest-flooding_00000405_post_disaster.png,minor-damage,1,3,0.6666666666666666
midwest-flooding_00000385_post_disaster.json,midwest-flooding_00000385_post_disaster.png,no-damage,0,6,1.0
midwest-flooding_00000154_post_disaster.json,midwest-flooding_00000154_post_disaster.png,no-damage,0,5,1.0
midwest-flooding_00000330_post_disaster.json,midwest-flooding_00000330_post_disaster.png,destroyed,3,4,0.5
midwest-flooding_00000422_post_disaster.json,midwest-flooding_00000422_post_disaster.png,no-damage,0,9,1.0
midwest-flooding_00000222_post_disaster.json,midwest-flooding_00000222_post_disaster.png,no-damage,0,5,1.0
midwest-flooding_00000125_post_disaster.json,midwest-flooding_00000125_post_disaster.png,no-damage,0,5,1.0
midwest-flooding_00000338_post_disaster.json,midwest-flooding_00000338_post_disaster.png,no-damage,0,10,0.9
midwest-flooding_00000374_post_disaster.json,midwest-flooding_00000374_post_disaster.png,no-damage,0,6,0.8333333333333334
midwest-flooding_00000161_post_disaster.json,midwest-flooding_00000161_post_disaster.png,no-damage,0,12,0.8333333333333334
midwest-flooding_00000313_post_disaster.json,midwest-flooding_00000313_post_disaster.png,no-damage,0,93,0.967741935483871
midwest-flooding_00000178_post_disaster.json,midwest-flooding_00000178_post_disaster.png,no-damage,0,5,1.0
midwest-flooding_00000310_post_disaster.json,midwest-flooding_00000310_post_disaster.png,no-damage,0,19,0.9473684210526315
midwest-flooding_00000093_post_disaster.json,midwest-flooding_00000093_post_disaster.png,destroyed,3,0,
midwest-flooding_00000326_post_disaster.json,midwest-flooding_00000326_post_disaster.png,major-damage,2,2,1.0
midwest-flooding_00000392_post_disaster.json,midwest-flooding_00000392_post_disaster.png,no-damage,0,6,1.0
midwest-flooding_00000070_post_disaster.json,midwest-flooding_00000070_post_disaster.png,no-damage,0,72,0.9166666666666666
midwest-flooding_00000115_post_disaster.json,midwest-flooding_00000115_post_disaster.png,destroyed,3,0,
midwest-flooding_00000281_post_disaster.json,midwest-flooding_00000281_post_disaster.png,no-damage,0,37,0.972972972972973
midwest-flooding_00000411_post_disaster.json,midwest-flooding_00000411_post_disaster.png,no-damage,0,69,1.0
midwest-flooding_00000441_post_disaster.json,midwest-flooding_00000441_post_disaster.png,no-damage,0,9,1.0
midwest-flooding_00000345_post_disaster.json,midwest-flooding_00000345_post_disaster.png,no-damage,0,15,1.0
midwest-flooding_00000132_post_disaster.json,midwest-flooding_00000132_post_disaster.png,no-damage,0,5,0.8
midwest-flooding_00000066_post_disaster.json,midwest-flooding_00000066_post_disaster.png,no-damage,0,280,1.0
midwest-flooding_00000019_post_disaster.json,midwest-flooding_00000019_post_disaster.png,no-damage,0,50,1.0
midwest-flooding_00000186_post_disaster.json,midwest-flooding_00000186_post_disaster.png,destroyed,3,0,
midwest-flooding_00000033_post_disaster.json,midwest-flooding_00000033_post_disaster.png,no-damage,0,82,1.0
midwest-flooding_00000237_post_disaster.json,midwest-flooding_00000237_post_disaster.png,no-damage,0,49,0.9795918367346939
midwest-flooding_00000036_post_disaster.json,midwest-flooding_00000036_post_disaster.png,no-damage,0,71,1.0
midwest-flooding_00000259_post_disaster.json,midwest-flooding_00000259_post_disaster.png,no-damage,0,55,1.0
midwest-flooding_00000360_post_disaster.json,midwest-flooding_00000360_post_disaster.png,no-damage,0,42,0.9285714285714286
midwest-flooding_00000119_post_disaster.json,midwest-flooding_00000119_post_disaster.png,destroyed,3,0,
midwest-flooding_00000378_post_disaster.json,midwest-flooding_00000378_post_disaster.png,no-damage,0,24,1.0
midwest-flooding_00000381_post_disaster.json,midwest-flooding_00000381_post_disaster.png,no-damage,0,11,0.9090909090909091
midwest-flooding_00000012_post_disaster.json,midwest-flooding_00000012_post_disaster.png,destroyed,3,3,0.6666666666666666
midwest-flooding_00000108_post_disaster.json,midwest-flooding_00000108_post_disaster.png,no-damage,0,18,1.0
midwest-flooding_00000073_post_disaster.json,midwest-flooding_00000073_post_disaster.png,destroyed,3,0,
midwest-flooding_00000273_post_disaster.json,midwest-flooding_00000273_post_disaster.png,no-damage,0,9,0.6666666666666666
midwest-flooding_00000103_post_disaster.json,midwest-flooding_00000103_post_disaster.png,no-damage,0,13,0.9230769230769231
midwest-flooding_00000038_post_disaster.json,midwest-flooding_00000038_post_disaster.png,major-damage,2,2,0.5
midwest-flooding_00000197_post_disaster.json,midwest-flooding_00000197_post_disaster.png,no-damage,0,3,1.0
midwest-flooding_00000252_post_disaster.json,midwest-flooding_00000252_post_disaster.png,no-damage,0,62,0.9516129032258065
midwest-flooding_00000030_post_disaster.json,midwest-flooding_00000030_post_disaster.png,no-damage,0,3,0.6666666666666666
midwest-flooding_00000130_post_disaster.json,midwest-flooding_00000130_post_disaster.png,no-damage,0,11,0.6363636363636364
midwest-flooding_00000267_post_disaster.json,midwest-flooding_00000267_post_disaster.png,no-damage,0,18,0.9444444444444444
midwest-flooding_00000442_post_disaster.json,midwest-flooding_00000442_post_disaster.png,no-damage,0,9,1.0
midwest-flooding_00000144_post_disaster.json,midwest-flooding_00000144_post_disaster.png,major-damage,2,4,0.5
midwest-flooding_00000234_post_disaster.json,midwest-flooding_00000234_post_disaster.png,no-damage,0,29,0.8620689655172413
midwest-flooding_00000417_post_disaster.json,midwest-flooding_00000417_post_disaster.png,no-damage,0,15,0.8666666666666667
midwest-flooding_00000025_post_disaster.json,midwest-flooding_00000025_post_disaster.png,no-damage,0,73,0.9041095890410958
midwest-flooding_00000244_post_disaster.json,midwest-flooding_00000244_post_disaster.png,no-damage,0,13,0.5384615384615384
midwest-flooding_00000020_post_disaster.json,midwest-flooding_00000020_post_disaster.png,no-damage,0,148,0.9527027027027027
midwest-flooding_00000416_post_disaster.json,midwest-flooding_00000416_post_disaster.png,no-damage,0,19,0.7894736842105263
midwest-flooding_00000196_post_disaster.json,midwest-flooding_00000196_post_disaster.png,no-damage,0,31,1.0
midwest-flooding_00000054_post_disaster.json,midwest-flooding_00000054_post_disaster.png,no-damage,0,147,1.0
midwest-flooding_00000139_post_disaster.json,midwest-flooding_00000139_post_disaster.png,destroyed,3,1,1.0
midwest-flooding_00000423_post_disaster.json,midwest-flooding_00000423_post_disaster.png,no-damage,0,5,1.0
midwest-flooding_00000355_post_disaster.json,midwest-flooding_00000355_post_disaster.png,no-damage,0,9,0.6666666666666666
midwest-flooding_00000061_post_disaster.json,midwest-flooding_00000061_post_disaster.png,no-damage,0,69,1.0
midwest-flooding_00000217_post_disaster.json,midwest-flooding_00000217_post_disaster.png,no-damage,0,56,1.0
midwest-flooding_00000027_post_disaster.json,midwest-flooding_00000027_post_disaster.png,no-damage,0,65,0.9230769230769231
midwest-flooding_00000308_post_disaster.json,midwest-flooding_00000308_post_disaster.png,no-damage,0,6,1.0
midwest-flooding_00000393_post_disaster.json,midwest-flooding_00000393_post_disaster.png,no-damage,0,21,0.6666666666666666
midwest-flooding_00000107_post_disaster.json,midwest-flooding_00000107_post_disaster.png,no-damage,0,3,1.0
midwest-flooding_00000205_post_disaster.json,midwest-flooding_00000205_post_disaster.png,no-damage,0,24,1.0
midwest-flooding_00000236_post_disaster.json,midwest-flooding_00000236_post_disaster.png,no-damage,0,14,0.7857142857142857
midwest-flooding_00000181_post_disaster.json,midwest-flooding_00000181_post_disaster.png,no-damage,0,32,0.59375
midwest-flooding_00000212_post_disaster.json,midwest-flooding_00000212_post_disaster.png,destroyed,3,0,
midwest-flooding_00000418_post_disaster.json,midwest-flooding_00000418_post_disaster.png,no-damage,0,3,0.6666666666666666
midwest-flooding_00000121_post_disaster.json,midwest-flooding_00000121_post_disaster.png,no-damage,0,1,1.0
midwest-flooding_00000029_post_disaster.json,midwest-flooding_00000029_post_disaster.png,no-damage,0,282,0.9468085106382979
midwest-flooding_00000304_post_disaster.json,midwest-flooding_00000304_post_disaster.png,no-damage,0,88,0.9886363636363636
midwest-flooding_00000348_post_disaster.json,midwest-flooding_00000348_post_disaster.png,no-damage,0,5,1.0
midwest-flooding_00000150_post_disaster.json,midwest-flooding_00000150_post_disaster.png,minor-damage,1,2,1.0
midwest-flooding_00000188_post_disaster.json,midwest-flooding_00000188_post_disaster.png,destroyed,3,0,
midwest-flooding_00000148_post_disaster.json,midwest-flooding_00000148_post_disaster.png,no-damage,0,15,1.0
midwest-flooding_00000268_post_disaster.json,midwest-flooding_00000268_post_disaster.png,major-damage,2,1,1.0
midwest-flooding_00000083_post_disaster.json,midwest-flooding_00000083_post_disaster.png,no-damage,0,4,1.0
midwest-flooding_00000403_post_disaster.json,midwest-flooding_00000403_post_disaster.png,no-damage,0,10,0.8
midwest-flooding_00000339_post_disaster.json,midwest-flooding_00000339_post_disaster.png,no-damage,0,10,0.8
midwest-flooding_00000062_post_disaster.json,midwest-flooding_00000062_post_disaster.png,no-damage,0,190,1.0
midwest-flooding_00000264_post_disaster.json,midwest-flooding_00000264_post_disaster.png,no-damage,0,19,0.8421052631578947
midwest-flooding_00000221_post_disaster.json,midwest-flooding_00000221_post_disaster.png,no-damage,0,19,1.0
midwest-flooding_00000085_post_disaster.json,midwest-flooding_00000085_post_disaster.png,no-damage,0,3,0.6666666666666666
midwest-flooding_00000427_post_disaster.json,midwest-flooding_00000427_post_disaster.png,no-damage,0,4,1.0
midwest-flooding_00000351_post_disaster.json,midwest-flooding_00000351_post_disaster.png,minor-damage,1,3,1.0
midwest-flooding_00000275_post_disaster.json,midwest-flooding_00000275_post_disaster.png,no-damage,0,24,0.9166666666666666
midwest-flooding_00000047_post_disaster.json,midwest-flooding_00000047_post_disaster.png,no-damage,0,131,0.8854961832061069
