filename,image,majority_subtype,majority_label,n_buildings,majority_share
socal-fire_00001045_post_disaster.json,socal-fire_00001045_post_disaster.png,destroyed,3,0,
socal-fire_00000078_post_disaster.json,socal-fire_00000078_post_disaster.png,destroyed,3,0,
socal-fire_00000389_post_disaster.json,socal-fire_00000389_post_disaster.png,no-damage,0,16,0.75
socal-fire_00000373_post_disaster.json,socal-fire_00000373_post_disaster.png,destroyed,3,0,
socal-fire_00000432_post_disaster.json,socal-fire_00000432_post_disaster.png,destroyed,3,0,
socal-fire_00000399_post_disaster.json,socal-fire_00000399_post_disaster.png,destroyed,3,7,0.5714285714285714
socal-fire_00000999_post_disaster.json,socal-fire_00000999_post_disaster.png,destroyed,3,0,
socal-fire_00000628_post_disaster.json,socal-fire_00000628_post_disaster.png,no-damage,0,39,0.9230769230769231
socal-fire_00000540_post_disaster.json,socal-fire_00000540_post_disaster.png,destroyed,3,0,
socal-fire_00000265_post_disaster.json,socal-fire_00000265_post_disaster.png,destroyed,3,4,1.0
socal-fire_00001156_post_disaster.json,socal-fire_00001156_post_disaster.png,destroyed,3,0,
socal-fire_00000402_post_disaster.json,socal-fire_00000402_post_disaster.png,no-damage,0,6,0.8333333333333334
socal-fire_00000333_post_disaster.json,socal-fire_00000333_post_disaster.png,destroyed,3,0,
socal-fire_00000824_post_disaster.json,socal-fire_00000824_post_disaster.png,destroyed,3,1,1.0
socal-fire_00000321_post_disaster.json,socal-fire_00000321_post_disaster.png,destroyed,3,0,
socal-fire_00000113_post_disaster.json,socal-fire_00000113_post_disaster.png,destroyed,3,0,
socal-fire_00000955_post_disaster.json,socal-fire_00000955_post_disaster.png,destroyed,3,0,
socal-fire_00000776_post_disaster.json,socal-fire_00000776_post_disaster.png,no-damage,0,6,1.0
socal-fire_00000705_post_disaster.json,socal-fire_00000705_post_disaster.png,destroyed,3,0,
socal-fire_00001397_post_disaster.json,socal-fire_00001397_post_disaster.png,no-damage,0,38,0.9473684210526315
socal-fire_00000881_post_disaster.json,socal-fire_00000881_post_disaster.png,destroyed,3,0,
socal-fire_00000830_post_disaster.json,socal-fire_00000830_post_disaster.png,destroyed,3,0,
socal-fire_00001243_post_disaster.json,socal-fire_00001243_post_disaster.png,no-damage,0,12,1.0
socal-fire_00000975_post_disaster.json,socal-fire_00000975_post_disaster.png,destroyed,3,0,
socal-fire_00000044_post_disaster.json,socal-fire_00000044_post_disaster.png,no-damage,0,21,1.0
socal-fire_00000454_post_disaster.json,socal-fire_00000454_post_disaster.png,destroyed,3,0,
socal-fire_00001101_post_disaster.json,socal-fire_00001101_post_disaster.png,destroyed,3,0,
socal-fire_00000903_post_disaster.json,socal-fire_00000903_post_disaster.png,no-damage,0,8,1.0
socal-fire_00001120_post_disaster.json,socal-fire_00001120_post_disaster.png,destroyed,3,2,1.0
socal-fire_00001387_post_disaster.json,socal-fire_00001387_post_disaster.png,no-damage,0,25,1.0
socal-fire_00000640_post_disaster.json,socal-fire_00000640_post_disaster.png,destroyed,3,0,
socal-fire_00001382_post_disaster.json,socal-fire_00001382_post_disaster.png,no-damage,0,49,0.9591836734693877
socal-fire_00000884_post_disaster.json,socal-fire_00000884_post_disaster.png,destroyed,3,0,
socal-fire_00000633_post_disaster.json,socal-fire_00000633_post_disaster.png,destroyed,3,0,
socal-fire_00000185_post_disaster.json,socal-fire_00000185_post_disaster.png,destroyed,3,0,
socal-fire_00000935_post_disaster.json,socal-fire_00000935_post_disaster.png,no-damage,0,137,1.0
socal-fire_00001075_post_disaster.json,socal-fire_00001075_post_disaster.png,destroyed,3,64,0.828125
socal-fire_00000953_post_disaster.json,socal-fire_00000953_post_disaster.png,no-damage,0,83,0.8674698795180723
socal-fire_00001263_post_disaster.json,socal-fire_00001263_post_disaster.png,no-damage,0,1,1.0
socal-fire_00000535_post_disaster.json,socal-fire_00000535_post_disaster.png,destroyed,3,0,
socal-fire_00001019_post_disaster.json,socal-fire_00001019_post_disaster.png,no-damage,0,29,1.0
socal-fire_00000839_post_disaster.json,socal-fire_00000839_post_disaster.png,destroyed,3,0,
socal-fire_00001067_post_disaster.json,socal-fire_00001067_post_disaster.png,destroyed,3,0,
socal-fire_00001253_post_disaster.json,socal-fire_00001253_post_disaster.png,destroyed,3,0,
socal-fire_00001195_post_disaster.json,socal-fire_00001195_post_disaster.png,destroyed,3,0,
socal-fire_00000966_post_disaster.json,socal-fire_00000966_post_disaster.png,no-damage,0,20,0.8
socal-fire_00000232_post_disaster.json,socal-fire_00000232_post_disaster.png,destroyed,3,0,
socal-fire_00000162_post_disaster.json,socal-fire_00000162_post_disaster.png,destroyed,3,0,
socal-fire_00001197_post_disaster.json,socal-fire_00001197_post_disaster.png,no-damage,0,1,1.0
socal-fire_00000146_post_disaster.json,socal-fire_00000146_post_disaster.png,no-damage,0,21,1.0
socal-fire_00001241_post_disaster.json,socal-fire_00001241_post_disaster.png,no-damage,0,62,1.0
socal-fire_00001396_post_disaster.json,socal-fire_00001396_post_disaster.png,destroyed,3,0,
socal-fire_00001184_post_disaster.json,socal-fire_00001184_post_disaster.png,no-damage,0,29,1.0
socal-fire_00000090_post_disaster.json,socal-fire_00000090_post_disaster.png,no-damage,0,25,0.68
socal-fire_00000141_post_disaster.json,socal-fire_00000141_post_disaster.png,destroyed,3,0,
socal-fire_00000423_post_disaster.json,socal-fire_00000423_post_disaster.png,destroyed,3,0,
socal-fire_00000748_post_disaster.json,socal-fire_00000748_post_disaster.png,destroyed,3,0,
socal-fire_00000110_post_disaster.json,socal-fire_00000110_post_disaster.png,destroyed,3,0,
socal-fire_00000473_post_disaster.json,socal-fire_00000473_post_disaster.png,no-damage,0,18,0.8333333333333334
socal-fire_00000858_post_disaster.json,socal-fire_00000858_post_disaster.png,destroyed,3,0,
socal-fire_00000950_post_disaster.json,socal-fire_00000950_post_disaster.png,no-damage,0,55,1.0
socal-fire_00000965_post_disaster.json,socal-fire_00000965_post_disaster.png,no-damage,0,96,1.0
socal-fire_00000059_post_disaster.json,socal-fire_00000059_post_disaster.png,no-damage,0,2,1.0
socal-fire_00001082_post_disaster.json,socal-fire_00001082_post_disaster.png,destroyed,3,0,
socal-fire_00000062_post_disaster.json,socal-fire_00000062_post_disaster.png,no-damage,0,1,1.0
socal-fire_00000060_post_disaster.json,socal-fire_00000060_post_disaster.png,destroyed,3,0,
socal-fire_00000533_post_disaster.json,socal-fire_00000533_post_disaster.png,destroyed,3,0,
socal-fire_00000528_post_disaster.json,socal-fire_00000528_post_disaster.png,destroyed,3,0,
socal-fire_00000793_post_disaster.json,socal-fire_00000793_post_disaster.png,destroyed,3,8,0.75
socal-fire_00001268_post_disaster.json,socal-fire_00001268_post_disaster.png,no-damage,0,66,0.7727272727272727
socal-fire_00000875_post_disaster.json,socal-fire_00000875_post_disaster.png,destroyed,3,0,
socal-fire_00000676_post_disaster.json,socal-fire_00000676_post_disaster.png,no-damage,0,25,0.92
socal-fire_00000834_post_disaster.json,socal-fire_00000834_post_disaster.png,destroyed,3,0,
socal-fire_00000679_post_disaster.json,socal-fire_00000679_post_disaster.png,destroyed,3,24,0.5833333333333334
socal-fire_00001293_post_disaster.json,socal-fire_00001293_post_disaster.png,destroyed,3,0,
socal-fire_00000587_post_disaster.json,socal-fire_00000587_post_disaster.png,destroyed,3,0,
socal-fire_00000430_post_disaster.json,socal-fire_00000430_post_disaster.png,destroyed,3,1,1.0
socal-fire_00000821_post_disaster.json,socal-fire_00000821_post_disaster.png,destroyed,3,23,1.0
socal-fire_00000792_post_disaster.json,socal-fire_00000792_post_disaster.png,no-damage,0,31,0.7096774193548387
socal-fire_00000608_post_disaster.json,socal-fire_00000608_post_disaster.png,no-damage,0,128,1.0
socal-fire_00000213_post_disaster.json,socal-fire_00000213_post_disaster.png,destroyed,3,0,
socal-fire_00000095_post_disaster.json,socal-fire_00000095_post_disaster.png,minor-damage,1,1,1.0
socal-fire_00001338_post_disaster.json,socal-fire_00001338_post_disaster.png,destroyed,3,0,
socal-fire_00000363_post_disaster.json,socal-fire_00000363_post_disaster.png,no-damage,0,16,1.0
socal-fire_00001171_post_disaster.json,socal-fire_00001171_post_disaster.png,no-damage,0,25,1.0
socal-fire_00000230_post_disaster.json,socal-fire_00000230_post_disaster.png,destroyed,3,0,
socal-fire_00000984_post_disaster.json,socal-fire_00000984_post_disaster.png,destroyed,3,0,
socal-fire_00001123_post_disaster.json,socal-fire_00001123_post_disaster.png,destroyed,3,0,
socal-fire_00001354_post_disaster.json,socal-fire_00001354_post_disaster.png,no-damage,0,2,1.0
socal-fire_00001077_post_disaster.json,socal-fire_00001077_post_disaster.png,destroyed,3,0,
socal-fire_00001103_post_disaster.json,socal-fire_00001103_post_disaster.png,destroyed,3,0,
socal-fire_00000600_post_disaster.json,socal-fire_00000600_post_disaster.png,no-damage,0,1,1.0
socal-fire_00000810_post_disaster.json,socal-fire_00000810_post_disaster.png,destroyed,3,15,0.6
socal-fire_00000157_post_disaster.json,socal-fire_00000157_post_disaster.png,destroyed,3,0,
socal-fire_00000015_post_disaster.json,socal-fire_00000015_post_disaster.png,destroyed,3,0,
socal-fire_00001127_post_disaster.json,socal-fire_00001127_post_disaster.png,no-damage,0,18,0.6111111111111112
socal-fire_00001334_post_disaster.json,socal-fire_00001334_post_disaster.png,destroyed,3,0,
socal-fire_00000865_post_disaster.json,socal-fire_00000865_post_disaster.png,destroyed,3,0,
socal-fire_00000964_post_disaster.json,socal-fire_00000964_post_disaster.png,destroyed,3,0,
socal-fire_00000668_post_disaster.json,socal-fire_00000668_post_disaster.png,no-damage,0,73,1.0
socal-fire_00001289_post_disaster.json,socal-fire_00001289_post_disaster.png,destroyed,3,0,
socal-fire_00000058_post_disaster.json,socal-fire_00000058_post_disaster.png,no-damage,0,4,0.75
socal-fire_00000405_post_disaster.json,socal-fire_00000405_post_disaster.png,no-damage,0,8,1.0
socal-fire_00000585_post_disaster.json,socal-fire_00000585_post_disaster.png,destroyed,3,3,1.0
socal-fire_00000109_post_disaster.json,socal-fire_00000109_post_disaster.png,no-damage,0,27,0.7037037037037037
socal-fire_00000436_post_disaster.json,socal-fire_00000436_post_disaster.png,destroyed,3,18,0.7222222222222222
socal-fire_00000835_post_disaster.json,socal-fire_00000835_post_disaster.png,destroyed,3,0,
socal-fire_00001165_post_disaster.json,socal-fire_00001165_post_disaster.png,no-damage,0,5,0.6
socal-fire_00000153_post_disaster.json,socal-fire_00000153_post_disaster.png,no-damage,0,16,1.0
socal-fire_00001238_post_disaster.json,socal-fire_00001238_post_disaster.png,destroyed,3,0,
socal-fire_00001071_post_disaster.json,socal-fire_00001071_post_disaster.png,no-damage,0,1,1.0
socal-fire_00001373_post_disaster.json,socal-fire_00001373_post_disaster.png,destroyed,3,0,
socal-fire_00000484_post_disaster.json,socal-fire_00000484_post_disaster.png,no-damage,0,202,1.0
socal-fire_00001059_post_disaster.json,socal-fire_00001059_post_disaster.png,no-damage,0,2,0.5
socal-fire_00000985_post_disaster.json,socal-fire_00000985_post_disaster.png,destroyed,3,0,
socal-fire_00000589_post_disaster.json,socal-fire_00000589_post_disaster.png,destroyed,3,0,
socal-fire_00000136_post_disaster.json,socal-fire_00000136_post_disaster.png,no-damage,0,34,0.7647058823529411
socal-fire_00001304_post_disaster.json,socal-fire_00001304_post_disaster.png,destroyed,3,0,
socal-fire_00000370_post_disaster.json,socal-fire_00000370_post_disaster.png,destroyed,3,3,1.0
socal-fire_00000550_post_disaster.json,socal-fire_00000550_post_disaster.png,destroyed,3,0,
socal-fire_00000122_post_disaster.json,socal-fire_00000122_post_disaster.png,destroyed,3,0,
socal-fire_00001110_post_disaster.json,socal-fire_00001110_post_disaster.png,destroyed,3,0,
socal-fire_00000757_post_disaster.json,socal-fire_00000757_post_disaster.png,destroyed,3,0,
socal-fire_00001086_post_disaster.json,socal-fire_00001086_post_disaster.png,destroyed,3,8,0.875
socal-fire_00000378_post_disaster.json,socal-fire_00000378_post_disaster.png,destroyed,3,0,
socal-fire_00000107_post_disaster.json,socal-fire_00000107_post_disaster.png,destroyed,3,0,
socal-fire_00000563_post_disaster.json,socal-fire_00000563_post_disaster.png,destroyed,3,0,
socal-fire_00001235_post_disaster.json,socal-fire_00001235_post_disaster.png,destroyed,3,0,
socal-fire_00000739_post_disaster.json,socal-fire_00000739_post_disaster.png,no-damage,0,38,1.0
socal-fire_00001283_post_disaster.json,socal-fire_00001283_post_disaster.png,destroyed,3,0,
socal-fire_00000710_post_disaster.json,socal-fire_00000710_post_disaster.png,destroyed,3,0,
socal-fire_00000677_post_disaster.json,socal-fire_00000677_post_disaster.png,destroyed,3,0,
socal-fire_00001296_post_disaster.json,socal-fire_00001296_post_disaster.png,destroyed,3,0,
socal-fire_00000599_post_disaster.json,socal-fire_00000599_post_disaster.png,destroyed,3,0,
socal-fire_00000012_post_disaster.json,socal-fire_00000012_post_disaster.png,no-damage,0,13,1.0
socal-fire_00000968_post_disaster.json,socal-fire_00000968_post_disaster.png,destroyed,3,0,
socal-fire_00000194_post_disaster.json,socal-fire_00000194_post_disaster.png,destroyed,3,0,
socal-fire_00000566_post_disaster.json,socal-fire_00000566_post_disaster.png,no-damage,0,6,1.0
socal-fire_00000606_post_disaster.json,socal-fire_00000606_post_disaster.png,destroyed,3,3,0.6666666666666666
socal-fire_00001347_post_disaster.json,socal-fire_00001347_post_disaster.png,destroyed,3,0,
socal-fire_00000003_post_disaster.json,socal-fire_00000003_post_disaster.png,no-damage,0,25,0.96
socal-fire_00000798_post_disaster.json,socal-fire_00000798_post_disaster.png,no-damage,0,52,0.9615384615384616
socal-fire_00001207_post_disaster.json,socal-fire_00001207_post_disaster.png,no-damage,0,60,1.0
socal-fire_00001291_post_disaster.json,socal-fire_00001291_post_disaster.png,destroyed,3,3,0.3333333333333333
socal-fire_00000386_post_disaster.json,socal-fire_00000386_post_disaster.png,destroyed,3,0,
socal-fire_00000775_post_disaster.json,socal-fire_00000775_post_disaster.png,destroyed,3,0,
socal-fire_00001325_post_disaster.json,socal-fire_00001325_post_disaster.png,no-damage,0,5,0.8
socal-fire_00000915_post_disaster.json,socal-fire_00000915_post_disaster.png,destroyed,3,0,
socal-fire_00000292_post_disaster.json,socal-fire_00000292_post_disaster.png,destroyed,3,0,
socal-fire_00000598_post_disaster.json,socal-fire_00000598_post_disaster.png,no-damage,0,46,0.8478260869565217
socal-fire_00000788_post_disaster.json,socal-fire_00000788_post_disaster.png,major-damage,2,4,0.75
socal-fire_00000980_post_disaster.json,socal-fire_00000980_post_disaster.png,destroyed,3,0,
socal-fire_00000634_post_disaster.json,socal-fire_00000634_post_disaster.png,no-damage,0,133,1.0
